node_id,stop_no,stop_name,elev_m,slope_pct,slope_pct_raw
100900123,01824,교남동새마을금고,51.323395,5.2629557,4.175629
100900124,01823,형제봉입구,193.67174,27.327866,21.681929
100900125,01819,현대사거리,40.33645,2.1246243,1.6856768
100900126,01817,대신중고,56.615658,5.949782,4.720557
100900127,01816,연화정사,220.4469,46.91336,37.221058
100900128,01815,이화사거리,27.185877,7.417975,5.8854213
100900129,01814,삼청공원삼거리.옥호정터,53.0864,5.445321,4.3203177
100900131,01812,재동초등학교,37.220997,1.9513366,1.5481905
100900133,01810,카센터.사직터널앞,62.1217,21.425737,16.99918
100900134,01809,감람산기도원,250.84879,53.557045,42.49216
100900135,01807,금융연수원,51.439026,18.657461,14.802829
100900137,01804,충신시장,27.030977,5.798264,4.6003428
100900138,01803,사직공원.경복궁역입구,45.56226,3.6909993,2.9284387
100900139,01802,김창열.윤명로화실,240.2123,27.674194,21.956705
100900140,01801,박노수미술관,50.142784,4.011181,3.182471
100900141,01800,삼청동주민센터,46.162846,4.8500896,3.8480608
100900142,01799,상명대입구,66.49921,14.978099,11.883623
100900143,01797,대학로입구.이화사거리,26.638432,4.3571362,3.4569519
100900144,01798,운현궁,31.008352,10.617048,8.423566
100900145,01796,배화여중고,53.216946,12.231805,9.704714
100900147,01851,감사원,85.308235,16.186152,12.8420925
100900148,01850,청룡사.보문파크뷰자이아파트,57.47309,13.857286,10.994371
100900149,01849,강북삼성병원,59.52797,3.5418675,2.8101177
100900151,01847,혜화초등학교,39.572742,2.5142934,1.9948404
100900152,01846,상명대입구,60.982216,19.569656,15.526566
100900153,01845,사우디대사관.북촌힐스,56.96889,17.878143,14.184518
100900154,01843,서울시교육청,57.35416,4.690738,3.7216318
100900155,01842,김종영미술관,169.17863,33.106262,26.26651
100900156,01840,세검정교회,77.602394,34.368122,27.26767
100900157,01839,안국선원.삼거리,53.1781,17.375002,13.785327
100900159,01837,스위스대사관,62.29099,19.371605,15.3694315
100900160,01836,보현빌라,205.40099,28.705975,22.77532
100900161,01835,하림각,81.34272,14.18566,11.254903
100900162,01833,북촌한옥마을입구.정세권활동터,46.847813,9.232995,7.325458
100900163,01832,숭인1동주민센터,36.20654,11.37931,9.028344
100900164,01831,월암공원,59.34945,29.995907,23.798752
100900165,01830,지구촌교회,196.86584,35.566128,28.218166
100900166,01829,석파정.서울미술관,89.33838,17.05914,13.534721
100900167,01827,볼링장,50.978355,12.31715,9.772428
100900168,01826,가회동주민센터,41.641987,5.5326357,4.389593
100900169,01862,새마을금고,49.128746,5.480781,4.3484516
100900170,01861,상명초등학교,88.97628,14.808867,11.749355
100900171,01858,서울국제고등학교,54.566593,15.140568,12.0125265
100900172,01856,통일부,98.39879,4.890164,3.879856
100900173,01855,종로센트레빌후문.e편한세상보문아파트,76.651024,4.807732,3.8144546
100900174,01540,국립민속박물관,38.93244,5.255945,4.1700673
100900177,01685,경복궁역,40.29671,1.361162,1.0799459
100900178,01501,삼청공원,55.693752,2.0566945,1.6317815
100900179,01720,법련사,37.916775,4.0611324,3.2221026
100900180,01791,홍지파크,97.53473,13.333711,10.578966
100900181,01821,부암동주민센터.무계원,99.68232,12.476859,9.899139
100900182,01549,구기터널입구,99.16689,16.973698,13.466932
100900184,01577,청구빌라,131.79753,9.5514345,7.578108
100900186,01554,독립문역3번출구,49.83795,5.6933284,4.5170865
100900187,01587,성결교신대원총회본부,93.722244,9.370633,7.4346604
100900188,01514,적십자병원후문앞,40.531967,3.5978248,2.8545141
100900189,01805,안국역2번출구앞,35.289948,1.2540448,0.9949592
100900191,01794,종로5가역.광장시장,25.194916,11.767239,9.336127
100900192,01702,동대문종합시장,22.938684,0.60745645,0.48195595
100900197,01504,명륜새마을금고,50.843746,9.689113,7.687342
100900198,01598,성대입구,33.38753,4.615259,3.6617465
100900199,01697,성대입구,35.4515,3.3604724,2.6661987
100900200,01841,혜화동로터리,36.03206,5.9045486,4.684669
100900201,01852,국민생활관,45.692898,4.910812,3.896238
100900202,01515,서울성곽.성대후문,144.30345,28.610954,22.69993
100900203,01860,성대후문.와룡공원,144.30345,28.610954,22.69993
100900204,01881,성균관대학교,119.13566,23.684498,18.79128
100900205,01595,동묘앞역8번출구,22.01132,14.414869,11.436757
100900206,01563,종로센트레빌아파트,42.65728,21.080149,16.724989
100900207,01582,창신초등학교,32.4065,12.517786,9.931611
100900210,01844,창신쌍용1단지.종로센트레빌아파트,42.65728,21.080149,16.724989
100900211,01888,종각.공평유적전시관,31.67772,14.819864,11.7580805
100900213,01889,조계사,37.298943,5.3691034,4.2598467
100900215,01820,교남동주민센터,51.33764,9.95271,7.89648
100900217,01557,종로1.2.3.4가동주민센터,32.185352,4.4657226,3.5431044
100900218,01615,성균관대정문,39.351234,8.616913,6.836659
100900219,01616,600주년기념관,58.620956,22.74271,18.044065
100900220,01617,성균관대운동장,75.41254,20.50186,16.266176
100900221,01618,학생회관,61.13406,19.441269,15.424703
101000001,02001,명동성당.남대문세무서,34.596146,7.0455084,5.589906
101000002,02002,국가인권위.안중근활동터,36.47812,2.8881202,2.2914345
101000003,02003,서울역버스환승센터,30.752682,7.649923,6.069449
101000004,02004,서울역버스환승센터,31.933422,20.68112,16.408401
101000005,02005,서울역버스환승센터,36.190395,22.977455,18.230312
101000006,02006,서울역버스환승센터,38.105835,33.492958,26.573313
101000007,02007,서울역버스환승센터.강우규의거터,38.105835,33.492958,26.573313
101000008,02008,숭례문,39.83242,23.86544,18.93484
101000009,02101,만리동고개,60.6084,5.846615,4.6387043
101000010,02102,손기정체육공원입구,41.515553,5.930535,4.7052865
101000011,02103,서울의료보건고등학교.서울역서부,26.638979,1.4657708,1.1629426
101000012,02104,서울역서부,28.70127,12.099757,9.599947
101000013,02105,서울역서부,28.003002,14.133721,11.213695
101000014,02106,중림동교차로,38.907738,17.980894,14.266041
101000015,02107,중림동.충정로역2호선,47.48901,5.8632483,4.6519012
101000016,02108,한국경제신문사.서소문역사공원,44.164867,2.8295913,2.2449977
